shop_ID,W1_gps_dec_long,W1_gps_dec_lat,W1_shoptype,W1_tuksayur2,W1_rokok2,W1_gas2,W1_warung2,B,BM,BC,BMC,BT,BMT,BCT,BMCT,control,treatgroup
108,106.80279,-6.1496434,4,0,0,1,1,1,0,0,0,1,0,0,0,0,8
205,106.94479,-6.2284899,4,0,1,1,1,0,0,0,1,0,0,0,0,0,1
213,106.9389,-6.2192864,4,0,1,1,1,0,0,1,0,0,0,1,0,0,7
228,106.94197,-6.2301383,2,1,1,1,0,1,0,0,0,1,0,0,0,0,8
229,106.94283,-6.2288485,3,0,0,1,1,1,0,0,0,1,0,0,0,0,4
234,106.94595,-6.2194233,1,1,0,1,1,0,0,0,1,0,0,0,0,0,5
313,106.80181,-6.3361168,2,0,1,1,1,0,0,0,1,0,0,0,1,0,5
316,106.80376,-6.3409834,3,0,1,1,1,0,1,0,0,0,1,0,0,0,6
317,106.80255,-6.3426132,1,1,0,1,0,0,0,0,1,0,0,0,1,0,5
323,106.80815,-6.3368602,2,1,1,1,0,0,0,0,1,0,0,0,1,0,1
328,106.80608,-6.3387451,4,0,0,1,1,0,1,0,0,0,1,0,0,0,2
331,106.80949,-6.3348451,3,0,1,1,0,0,1,0,0,0,1,0,0,0,6
333,106.80788,-6.3333168,3,1,0,1,1,0,0,1,0,0,0,1,0,0,7
383,106.80242,-6.3387418,3,0,1,1,0,0,0,0,1,0,0,0,1,0,1
389,106.81013,-6.3371735,2,1,1,1,0,0,1,0,0,0,0,0,0,0,6
408,106.74881,-6.2333331,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1
626,106.72602,-6.1322832,3,0,1,1,1,0,0,1,0,0,0,1,0,0,3
686,106.72688,-6.1311884,3,0,1,1,0,1,0,0,0,1,0,0,0,0,8
689,106.72618,-6.1284485,2,0,1,1,1,1,0,0,0,1,0,0,0,0,8
726,106.86567,-6.31499,4,0,0,1,1,1,0,0,0,1,0,0,0,0,4
734,106.87579,-6.3106065,4,0,1,1,1,1,0,0,0,1,0,0,0,0,8
738,106.86843,-6.3226233,3,0,0,1,0,0,0,0,1,0,0,0,1,0,5
740,106.86845,-6.3222351,2,1,1,1,0,0,0,1,0,0,0,0,0,0,3
783,106.86752,-6.3112535,3,0,0,1,1,0,1,0,0,0,0,0,0,0,6
804,106.75871,-6.13798,4,0,0,1,1,0,1,0,0,0,0,0,0,0,6
811,106.76204,-6.1395798,4,0,0,1,1,1,0,0,0,1,0,0,0,0,4
819,106.74771,-6.1341033,2,0,1,1,1,0,0,0,1,0,0,0,0,0,5
825,106.74808,-6.1363535,3,0,0,1,1,0,0,0,1,0,0,0,0,0,5
830,106.75122,-6.1382718,2,0,1,1,1,0,1,0,0,0,0,0,0,0,2
893,106.74888,-6.1394348,1,1,0,1,1,0,0,1,0,0,0,1,0,0,7
901,106.836,-6.2971034,2,0,1,1,0,0,0,1,0,0,0,1,0,0,7
916,106.84168,-6.2819915,2,0,1,1,1,0,0,0,1,0,0,0,1,0,1
926,106.83517,-6.297935,4,0,1,1,1,1,0,0,0,1,0,0,0,0,8
985,106.83931,-6.2846365,4,1,0,1,1,1,0,0,0,1,0,0,0,0,4
986,106.83871,-6.2844381,3,0,1,1,1,0,0,1,0,0,0,1,0,0,3
1101,106.88597,-6.3420615,3,0,0,1,0,0,1,0,0,0,0,0,0,0,6
1103,106.88586,-6.3413634,2,0,1,1,1,0,0,0,1,0,0,0,0,0,5
1111,106.88748,-6.3417716,2,0,1,1,1,0,0,1,0,0,0,0,0,0,7
1124,106.87998,-6.3397331,4,0,0,1,1,0,0,0,1,0,0,0,0,0,1
1128,106.88152,-6.3380032,1,1,0,1,0,0,0,1,0,0,0,1,0,0,7
1131,106.88211,-6.3388815,4,0,0,1,1,1,0,0,0,1,0,0,0,0,4
1148,106.87999,-6.3344002,3,0,1,1,0,1,0,0,0,1,0,0,0,0,4
1182,106.88705,-6.3431683,3,0,1,1,0,0,1,0,0,0,0,0,0,0,2
1221,106.84949,-6.2456365,1,1,0,1,0,0,0,0,1,0,0,0,0,0,5
1226,106.85896,-6.2463398,4,0,0,1,1,1,0,0,0,1,0,0,0,0,8
1302,106.9444,-6.1805582,4,0,1,1,1,1,0,0,0,1,0,0,0,0,8
1309,106.94333,-6.1807184,2,0,1,1,1,1,0,0,0,1,0,0,0,0,8
1317,106.94698,-6.1826668,4,0,0,1,1,0,0,1,0,0,0,1,0,0,3
1318,106.94704,-6.1828685,4,0,0,1,1,0,0,1,0,0,0,1,0,0,7
1319,106.94701,-6.1824417,2,0,1,1,1,0,0,1,0,0,0,1,0,0,7
1322,106.94756,-6.1812668,4,0,0,1,1,0,0,0,1,0,0,0,1,0,5
1329,106.94868,-6.1645865,2,0,1,1,1,0,0,0,1,0,0,0,0,0,5
1342,106.95074,-6.1761317,1,1,0,1,0,0,1,0,0,0,1,0,0,0,6
1344,106.94971,-6.1759915,4,0,0,1,1,0,1,0,0,0,0,0,0,0,2
1388,106.9487,-6.1646385,3,0,0,1,0,0,0,1,0,0,0,1,0,0,3
1419,106.92775,-6.2237849,3,1,0,1,1,0,0,1,0,0,0,1,0,0,3
1521,106.84095,-6.3102851,2,0,1,1,1,1,0,0,0,1,0,0,0,0,8
1537,106.85499,-6.3101869,4,0,0,1,1,1,0,0,0,1,0,0,0,0,8
1541,106.85571,-6.31145,2,0,1,1,1,1,0,0,0,1,0,0,0,0,8
1585,106.85448,-6.3092198,2,0,1,1,1,0,1,0,0,0,1,0,0,0,6
1589,106.85683,-6.3052216,2,0,1,1,0,0,0,1,0,0,0,1,0,0,7
1593,106.85403,-6.3108616,4,0,0,1,1,0,0,1,0,0,0,1,0,0,3
1594,106.8549,-6.3104734,1,1,0,1,0,0,1,0,0,0,1,0,0,0,6
1598,106.85471,-6.3108068,3,0,0,1,0,0,0,0,1,0,0,0,1,0,1
1604,106.83918,-6.3334751,3,0,1,1,0,1,0,0,0,1,0,0,0,0,4
1610,106.83884,-6.3336034,2,0,1,1,1,0,0,1,0,0,0,1,0,0,7
1611,106.83878,-6.3332734,1,1,0,1,0,1,0,0,0,1,0,0,0,0,8
1613,106.8404,-6.3318367,3,0,0,1,0,0,0,1,0,0,0,1,0,0,3
1628,106.83624,-6.3262782,4,0,0,1,1,0,0,0,1,0,0,0,1,0,1
1633,106.84056,-6.3239651,4,0,1,1,1,0,0,0,1,0,0,0,1,0,1
1634,106.84031,-6.3254752,2,0,1,1,1,0,1,0,0,0,1,0,0,0,6
1638,106.83693,-6.3244252,2,0,1,1,1,0,0,0,1,0,0,0,1,0,5
1642,106.83924,-6.3256016,3,1,0,1,1,0,1,0,0,0,1,0,0,0,6
1653,106.84097,-6.3254519,1,1,0,1,0,0,0,0,1,0,0,0,1,0,5
1680,106.83863,-6.3335233,3,0,0,1,1,0,0,1,0,0,0,1,0,0,3
1682,106.8421,-6.3314533,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1
1687,106.83765,-6.3271999,3,1,0,1,1,0,0,1,0,0,0,1,0,0,7
1694,106.83796,-6.3195415,1,1,0,1,0,0,0,1,0,0,0,1,0,0,7
1696,106.83736,-6.322175,2,0,1,1,0,0,0,1,0,0,0,1,0,0,7
1697,106.83771,-6.3220983,3,0,0,1,1,0,0,0,1,0,0,0,1,0,5
1709,106.855,-6.2044783,3,0,1,1,0,0,0,0,1,0,0,0,1,0,5
1719,106.84782,-6.2057934,4,0,0,1,1,0,1,0,0,0,0,0,0,0,2
1722,106.85009,-6.2011085,1,1,1,1,0,1,0,0,0,0,0,0,0,0,4
1732,106.85354,-6.2051568,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1
